#separator:tab
#html:false
What are the solid organs in the abdominal cavity?	Liver, spleen, pancreas, kidneys, and women (in women).
What can visceral peritoneum sense?	"It can not localize sensation, so the patient will describe such pain as a ""deep"" pain."
"It can not localize sensation, so the patient will describe such pain as a ""deep"" pain."	What can visceral peritoneum sense?
What is referred pain?	It is the result of connections between somatic and autonomic nervous system, so that pain may be perceived at a distant point of the body.
It is the result of connections between somatic and autonomic nervous system, so that pain may be perceived at a distant point of the body.	What is referred pain?
Where might acute cholecystitis (AKA inflammed gallbladder) cause referred pain?	It may cause pain in the right shoulder, because the autonomic nerves serving the gallbladder lie near the spinal cord, at the same anatomic level as the spinal sensory nerves that supply the skin of the shoulder.
It may cause pain in the right shoulder, because the autonomic nerves serving the gallbladder lie near the spinal cord, at the same anatomic level as the spinal sensory nerves that supply the skin of the shoulder.	Where might acute cholecystitis (AKA inflammed gallbladder) cause referred pain?
Where might appendicitis cause pain?	It causes pain in the right lower quadrant (direct), around the navel (referred), and rebounding pain (pain felt on the rebound after palpation)
It causes pain in the right lower quadrant (direct), around the navel (referred), and rebounding pain (pain felt on the rebound after palpation)	Where might appendicitis cause pain?
Where might an ulcer cause pain?	It might cause pain at the upper mid-abdoman or upper part of back.
It might cause pain at the upper mid-abdoman or upper part of back.	Where might an ulcer cause pain?
Where might diverticulitis cause pain?	It might cause pain in the lower left quadrant.
It might cause pain in the lower left quadrant.	Where might diverticulitis cause pain?
Where might an abdominal aortic aneurysm, A.K.A., an A.A.A., cause pain?	This condition might cause pain in the lower part of the back, or the lower quadrants.
This condition might cause pain in the lower part of the back, or the lower quadrants.	Where might an abdominal aortic aneurysm, A.K.A., an A.A.A., cause pain?
Where might cystitis, A.K.A.  inflamed bladder, cause pain?	It might cause pain in the lower mid-abdomen, or retropubic area.
It might cause pain in the lower mid-abdomen, or retropubic area.	Where might cystitis, A.K.A.  inflamed bladder, cause pain?
Where might a kidney infection cause pain?	It might cause pain in the costovertebral angle, which is the acute angle formed on either side of the human back between the twelfth rib and the vertebral column.
It might cause pain in the costovertebral angle, which is the acute angle formed on either side of the human back between the twelfth rib and the vertebral column.	Where might a kidney infection cause pain?
Where might kidney stones cause pain?	It might cause pain in the right or left flanks, radiating to the genitalia.
It might cause pain in the right or left flanks, radiating to the genitalia.	Where might kidney stones cause pain?
Where might pancreatitis cause pain?	It might cause pain in the upper abdomen (both quadrants) and the back.
It might cause pain in the upper abdomen (both quadrants) and the back.	Where might pancreatitis cause pain?
Where might pneumonia cause pain?	It might cause pain in the upper abdomen (referred pain).
It might cause pain in the upper abdomen (referred pain).	Where might pneumonia cause pain?
Where might a hernia cause pain?	It might cause pain anywhere in the abdominal area.
It might cause pain anywhere in the abdominal area.	Where might a hernia cause pain?
Where might peritonitis cause pain?	It might cause pain anywhere in the abdominal area.
It might cause pain anywhere in the abdominal area.	Where might peritonitis cause pain?
Why does early abdominal pain tend to be vague and poorly localized?	It tends to be vague and poorly localized because visceral peritoneum is usually irritated first.
It tends to be vague and poorly localized because visceral peritoneum is usually irritated first.	Why does early abdominal pain tend to be vague and poorly localized?
What is peptic ulcer disease (PUD)?	The protective layer is eroded, allowing the acid to eat into the organ itself over the course of weeks, months, or even years.
The protective layer is eroded, allowing the acid to eat into the organ itself over the course of weeks, months, or even years.	What is peptic ulcer disease (PUD)?
What causes most peptic ulcers?	Most are caused by an infection of the stomach with Heliocobacter pylori. Another major cause is chronic use of nonsteroidal anti-inflammatory drugs (NSAIDs), as well as alcohol and smoking.
Most are caused by an infection of the stomach with Heliocobacter pylori. Another major cause is chronic use of nonsteroidal anti-inflammatory drugs (NSAIDs), as well as alcohol and smoking.	What causes most peptic ulcers?
What do patients experience with peptic ulcers?	They experience a classic sequence of burning or gnawing pain in the stomach that subsides or diminishes immediately after eating and then reemerges 2 to 3 hours later.
They experience a classic sequence of burning or gnawing pain in the stomach that subsides or diminishes immediately after eating and then reemerges 2 to 3 hours later.	What do patients experience with peptic ulcers?
Where might a peptic ulcer cause pain?	It might cause pain in the upper abdomen, but sometimes may be found below the sternum.
It might cause pain in the upper abdomen, but sometimes may be found below the sternum.	Where might a peptic ulcer cause pain?
What are common symptoms of a peptic ulcer?	Nausea, vomiting, belching, and heartburn are common symptoms of it.
Nausea, vomiting, belching, and heartburn are common symptoms of it.	What are common symptoms of a peptic ulcer?
What are gallstones?	They form and block the outlet from the gallbladder, causing pain and inflammation.
They form and block the outlet from the gallbladder, causing pain and inflammation.	What are gallstones?
What is cholecystitis?	A condition in which the wall of the gallbladder becomes inflammed.
A condition in which the wall of the gallbladder becomes inflammed.	What is cholecystitis?
How does cholecystitis present?	The condition presents as a constant, severe pain in the right upper or midabdominal region, and may refer to the right upper back, shoulder area, or flank.
The condition presents as a constant, severe pain in the right upper or midabdominal region, and may refer to the right upper back, shoulder area, or flank.	How does cholecystitis present?
What are common symptoms of cholecystitis?	Symptoms include general gastrointestinal distress such as nausea and vomiting, indigestion, bloating, gas, and belching.
Symptoms include general gastrointestinal distress such as nausea and vomiting, indigestion, bloating, gas, and belching.	What are common symptoms of cholecystitis?
When does cholecystitis produce symptoms?	It commonly produces symptoms about 30 minutes after a particularly fatty meal and usually at night.
It commonly produces symptoms about 30 minutes after a particularly fatty meal and usually at night.	When does cholecystitis produce symptoms?
What causes pancreatitis?	It can be caused by an obstructing gallstone, alcohol abuse, and other diseases that cause inflammation of the pancreas.
It can be caused by an obstructing gallstone, alcohol abuse, and other diseases that cause inflammation of the pancreas.	What causes pancreatitis?
What is appendicitis?	It is inflammation or infection in the appendix.
It is inflammation or infection in the appendix.	What is appendicitis?
What are symptoms of appendicitis?	Symptoms are initially generalized and dull pain near the umbilical area. The pain later localizes to the right lower quadrant. A classic symptom is rebound tenderness.
Symptoms are initially generalized and dull pain near the umbilical area. The pain later localizes to the right lower quadrant. A classic symptom is rebound tenderness.	What are symptoms of appendicitis?
What is esophagitis?	It occurs when the lining of the esophagus becomes inflammed by infection or from the acids in the stomach (gastrophageal reflux disease).
It occurs when the lining of the esophagus becomes inflammed by infection or from the acids in the stomach (gastrophageal reflux disease).	What is esophagitis?
What causes esophageal varices?	They occur when the amount of pressure within the blood vessels surrounding esophagus increases.
They occur when the amount of pressure within the blood vessels surrounding esophagus increases.	What causes esophageal varices?
What causes Mallory-Weiss syndrome?	It occurs when the junction between the esophagus and the stomach tears, causing severe bleeding and eventually death.
It occurs when the junction between the esophagus and the stomach tears, causing severe bleeding and eventually death.	What causes Mallory-Weiss syndrome?
What is the principal symptom of Mallory-Weiss syndrome?	The principal syndrome is vomiting.
The principal syndrome is vomiting.	What is the principal symptom of Mallory-Weiss syndrome?
What is acute gastroenteritis?	It comprises a family of conditions revolving around a central theme of infection combined with diarrhea, nausea, and vomiting.
It comprises a family of conditions revolving around a central theme of infection combined with diarrhea, nausea, and vomiting.	What is acute gastroenteritis?
What causes diverticulitis?	It is caused when a lack of fiber leads to hard stool which requires more intestinal contractions, subsequently increasing pressure within the colon. In this environment, small defects within the colonic wall that would otherwise never pose a problem now fail, resulting in bulges in the wall. These small outcroppings eventually turn into pouches, called diverticula.
It is caused when a lack of fiber leads to hard stool which requires more intestinal contractions, subsequently increasing pressure within the colon. In this environment, small defects within the colonic wall that would otherwise never pose a problem now fail, resulting in bulges in the wall. These small outcroppings eventually turn into pouches, called diverticula.	What causes diverticulitis?
What are the symptoms of diverticulitis?	Symptoms are abdominal pain in the left side of the lower abdomen, fever, malaise, body aches, chills, nausea, and vomiting, as well as constipation.
Symptoms are abdominal pain in the left side of the lower abdomen, fever, malaise, body aches, chills, nausea, and vomiting, as well as constipation.	What are the symptoms of diverticulitis?
What is cystitis?	It is bladder infammation.
It is bladder infammation.	What is cystitis?
What is another name for cystitis?	Another name for it is urinary tract infection (UTI).
Another name for it is urinary tract infection (UTI).	What is another name for cystitis?
Where do patients with UTI tend to have pain?	They have pain in their lower abdominal quadrants.
They have pain in their lower abdominal quadrants.	Where do patients with UTI tend to have pain?
What is uremia?	It is when a patient's kidneys fail, and the patient loses the ability to excrete waste from the body, and the urea remains in the blood instead of going into the urine.
It is when a patient's kidneys fail, and the patient loses the ability to excrete waste from the body, and the urea remains in the blood instead of going into the urine.	What is uremia?
What is another name for kidney stones?	Renal Calculi is another name for it.
Renal Calculi is another name for it.	What is another name for kidney stones?
Can acute renal failure be reversed?	It can be reversed with prompt diagnosis and treatment.
It can be reversed with prompt diagnosis and treatment.	Can acute renal failure be reversed?
What should you always consider with a woman with lower quadrant pain or tenderness?	You should always consider that she may have a problem with her ovaries.
You should always consider that she may have a problem with her ovaries.	What should you always consider with a woman with lower quadrant pain or tenderness?
What is a cause of abdominal aoritc aneurysm (AAA)?	It is caused when in older people, the wall of the aorta develops weak areas that swell.
It is caused when in older people, the wall of the aorta develops weak areas that swell.	What is a cause of abdominal aoritc aneurysm (AAA)?
What is a common complaint of AAA?	Back pain is a common complaint with it.
Back pain is a common complaint with it.	What is a common complaint of AAA?
What is a hernia?	It is a protrusion of an organ or tissue through a hole or opening into a body cavity where it does not belong.
It is a protrusion of an organ or tissue through a hole or opening into a body cavity where it does not belong.	What is a hernia?
What causes hernia?	Causes of it include: A congenital defect, as around the umbilicus; a surgical wound that has failed to heal properly; a natural weakness in an area such as in the groin.
Causes of it include: A congenital defect, as around the umbilicus; a surgical wound that has failed to heal properly; a natural weakness in an area such as in the groin.	What causes hernia?
What is a reducible hernia?	It is a hernia that can disappear back into the body cavity in which it belongs.
It is a hernia that can disappear back into the body cavity in which it belongs.	What is a reducible hernia?
What is an incarcerated hernia?	It is a hernia that cannot be pushed back into the body cavity.
It is a hernia that cannot be pushed back into the body cavity.	What is an incarcerated hernia?
What is strangulation?	It is when a hernia is incarcerated, and its contents may become seriously compressed by the surrounding tissue, compromising the blood supply.
It is when a hernia is incarcerated, and its contents may become seriously compressed by the surrounding tissue, compromising the blood supply.	What is strangulation?
What is an important question to ask a patient with possible gastrointestinal issues regarding bleeding?	Ask them if they have blood in their vomit (hematemesis) or black, tarry stool (melena).
Ask them if they have blood in their vomit (hematemesis) or black, tarry stool (melena).	What is an important question to ask a patient with possible gastrointestinal issues regarding bleeding?
If a patient has drawn up their right knee, what condition might this be?	This stance may indicate appendicitis.
This stance may indicate appendicitis.	If a patient has drawn up their right knee, what condition might this be?
If a patient is curled up to one side, what condition may this be?	This stance may indicate pancreatitis.
This stance may indicate pancreatitis.	If a patient is curled up to one side, what condition may this be?
What is guarding?	It is a broadlike muscle spasm, and can be seen with major problems, such as a perforated ulcer or pancreatitis.
It is a broadlike muscle spasm, and can be seen with major problems, such as a perforated ulcer or pancreatitis.	What is guarding?
What is one way to decrease nausea?	Providing a patient low-flow oxygen often decreases it.
Providing a patient low-flow oxygen often decreases it.	What is one way to decrease nausea?
What happens if a patient misses a dialysis treatment?	If this happens, weakness and pulmonary edema can be the first in a series of conditions that can become progressively more serious.
If this happens, weakness and pulmonary edema can be the first in a series of conditions that can become progressively more serious.	What happens if a patient misses a dialysis treatment?
What are some adverse affects of dialysis?	They include hypotension, muscle cramps, nausea and vomiting, hemorrhage from the access site, and infection at the access site.
They include hypotension, muscle cramps, nausea and vomiting, hemorrhage from the access site, and infection at the access site.	What are some adverse affects of dialysis?
What is the endocrine system?	It is a complex message and control system that includes a network of glands that produce and secrete hormones.
What are endocrine glands?	They secrete and release chemicals that are used inside the body.
What is a hormone?	It is a substance produced by a gland that has special regulatory effects on other organs and tissues.
What is homeostasis?	It is the maintaining of stability in the body's internal environment.
What can cause endocrine disorders?	Hypersecretion or hyposecretion of a gland can cause it.
How much of the population does diabetes affect?	It affects about 7% of the population.
What is glucose?	It is one of the basic sugars used in the body and, in conjunction with oxygen, is the primary fuel for cellular metabolism. It is also called dextrose.
What is the full name of diabetes?	"Its full name is diabetes mellitus, which means ""sweet diabetes""."
What is type 1 diabetes?	When patients do not produce insulin. It typically developments during childhood.
What is type 2 diabetes?	When patients produce inadequate amounts of insulin, or what is produced does not function effectively. It is more common than type 1 diabetes, and on the rise due to obesity.
What are some medications that treat diabetes?	Chlorpropamide (Diabinese), tolbutamide (Orinase), glyburide (Micronase), glipizide (Glucotrol), metformin (Glucophage), and rosiglitazone (Avandia) are some of these types of muscles.
What kind of problem is type 1 diabetes considered?	It is considered an autoimmune problem, because the body becomes allergic to, and, therefore, destroys the insulin-producing cells of the endocrine glands in the pancreas.
What is the normal level of blood glucose levels?	The normal amount is 80 to 120 mg/dL
"What are the ""3 Ps"" of uncontrolled diabetes symptoms?"	They are polyuria (frequent urination), polydipsia (frequent drinking and thirst), and polyphagia (excessive eating).
What happens when the body can't use glucose to supply energy for cells?	When this happens, fat is used as an immediate energy source, which produces ketones and fatty acids as waste products and are hard for the body to excrete.
What is acidosis?	It is a condition caused by an accumulation of ketones in the blood and tissue.
What is diabetic ketoacidosis (DKA)?	It is a type of hyperglycemic crisis. It a form of acidosis seen in uncontrolled diabetes.
What are the signs and symptoms of DKA?	They are weakness, nausea, vomiting, abdominal pain, a weak and rapid pulse, and Kussmaul respirations
What are Kussmaul respirations?	They are a type of deep, rapid breathing seen during DKA.
What is often a result of type 2 diabetes?	A common result is HHNC, hyperosmolar hyperglycemic nonketotic coma.
How do diabetes lead to dehydration?	The body tries to get rid of the excess sugar in the urine. The fluid follows the sugar, causing dehydration.
What occurs with prolonged hyperglycemia?	It results in diabetic ketoacidosis.
What occurs with prolonged hypoglycemia?	It progresses to unresponsiveness and eventually hypoglycemic crisis.
What are common signs of both hyperglycemia or hypoglycemia?	Staggering and an intoxicated appearance or unresponsiveness are signs of both.
What is hyperglycemic crisis?	It is a state of unconsciousness resulting from several problems, including ketoacidosis, hyperglycemia, and dehydration.
What are some symptoms of hyperglycemic crisis?	"Some symptoms of Kussmaul respirations, dehydration, sweet or fruity odor on the breath, a rapid thready pulse, normal or slightly low blood pressure, weakness, nausea, and the ""3 Ps""."
What is a hypoglycemic crisis?	It occurs when the patient has taken too much insulin, not eaten enough food, or had an unusual amount of physical activity.
What are the symptoms of hypoglycemia?	Symptoms include normal to shallow or rapid respirations, pale clammy skin, sweating, a rapid pulse, normal to low blood pressure, anxious or combative behavior, hunger, weakness on one side of the body, and rapid changes in mental status.
How many grams of glucose does one tube contain?	It contains 15 grams of glucose.
What are the contraindications to oral glucose?	They are an inability to swallow and unconsciousness, because aspiration can occur.
What is hematology?	It is the study and prevention of blood-related diseases.
What percentage of blood volume is red blood cells (erythrocytes)?	47% in males and 42% in females is made up of it.
What is the scientific term for white blood cells?	They are also called leukocytes.
What is sickle cell disease?	It is an inherited blood disorder that affect the red blood cells. The cells are poor oxygen carriers, so patients may experience hypoxia.
How often do normal red blood cells live compared to hemoglobin S in sickle cell disease?	Normal red blood cells live about 120 days. Hemoglobin S cells live only 16 days.
What is thrombosis?	The development of a blood clot.
What is thrombophilia?	It is the tendancy to develop blood clots, and affects approximately 5% to 7% of the Caucasian population of European descent in the United States.
What is hemophilia?	It is a genetic disorder usually inherited from the mother, in which the blood is not able to control bleeding. It occurs mostly in males, in approximately 1 in every 5 to 10 thousand births.
How many Americans die of allergic reactions every year?	At least 1,000 Americans die every year.
What is immunology?	It is the study of the body's immune system.
What is the immune system?	It is the system that protects the human body from substances and organisms that are foreign to the body.
It is the system that protects the human body from substances and organisms that are foreign to the body.	What is the immune system?
What is an allergic reaction?	It is an exaggerated immune response. It is a reaction by the body's immune system, which releases chemicals to combat the stimulus.
It is an exaggerated immune response. It is a reaction by the body's immune system, which releases chemicals to combat the stimulus.	What is an allergic reaction?
What are some chemicals released by the immune system?	Histamine and leukotrienes are two of them.
Histamine and leukotrienes are two of them.	What are some chemicals released by the immune system?
What is anaphylaxis?	It is an extreme allergic reaction that is life threatening and involves multiple organ systems.
It is an extreme allergic reaction that is life threatening and involves multiple organ systems.	What is anaphylaxis?
What is one of the most common signs of anaphylaxis?	Wheezing is one of the most common signs of it.
Wheezing is one of the most common signs of it.	What is one of the most common signs of anaphylaxis?
What is urticaria?	It consists of smalls areas of generalized itching or burning that appear as multiple, small, raised areas on the skin.
It consists of smalls areas of generalized itching or burning that appear as multiple, small, raised areas on the skin.	What is urticaria?
What is envenomation?	It is when an insect or animal bites you and injects the bite with its venom.
It is when an insect or animal bites you and injects the bite with its venom.	What is envenomation?
What are five general catagories of allergens?	Insect bites and stings, medications, plants, food, and chemicals.
Insect bites and stings, medications, plants, food, and chemicals.	What are five general catagories of allergens?
How many species of bees, wasps, and hornets are there?	There are more than 100,000 species of them.
There are more than 100,000 species of them.	How many species of bees, wasps, and hornets are there?
What is a wheal?	It is a raised, swollen, well-defined area of the skin.
It is a raised, swollen, well-defined area of the skin.	What is a wheal?
What is a special consideration for honeybee stings?	Their stingers remain in the wound for up to 20 minutes and continue to inject venom.
Their stingers remain in the wound for up to 20 minutes and continue to inject venom.	What is a special consideration for honeybee stings?
What are some actions you should take with insect stings?	Position the injection site slightly below the level of the heart, and apply ice or cold packs to the area, but not directly on the skin. Don't use tweezers to remove the barb as squeezing it might release more venom.
Position the injection site slightly below the level of the heart, and apply ice or cold packs to the area, but not directly on the skin. Don't use tweezers to remove the barb as squeezing it might release more venom.	What are some actions you should take with insect stings?
What position should you place an insect sting position in?	Place them in the shock position, and give oxygen if needed.
Place them in the shock position, and give oxygen if needed.	What position should you place an insect sting position in?
What percentage of the population are allergic to the venom of the bee, hornet, yellow jacket, and wasp?	Approximately 5% are allergic.
Approximately 5% are allergic.	What percentage of the population are allergic to the venom of the bee, hornet, yellow jacket, and wasp?
How many people die each year from reactions to stings?	About 200 people a year die from this.
About 200 people a year die from this.	How many people die each year from reactions to stings?
What are some common symptoms of an anaphylactic reaction to stings?	Patients may experience generalized itching and burning, widespread urticaria, wheals, swelling about the lips and tongue, bronchospasm and wheezing, chest tightness and coughing, dyspnea, anxiety, abdominal cramps, and hypotension.
Patients may experience generalized itching and burning, widespread urticaria, wheals, swelling about the lips and tongue, bronchospasm and wheezing, chest tightness and coughing, dyspnea, anxiety, abdominal cramps, and hypotension.	What are some common symptoms of an anaphylactic reaction to stings?
When do most terminal anaphylactic patients die?	Two-thirds of them die within the first half hour, so speed is essential.
Two-thirds of them die within the first half hour, so speed is essential.	When do most terminal anaphylactic patients die?
What is the definitive treatment for anaphylactic shock?	It is epinephrine.
It is epinephrine.	What is the definitive treatment for anaphylactic shock?
What is stridor?	It is a harsh, high-pitched inspiratory sound, and occurs when swelling in the upper airway (near the vocal cords and throat) closes off the airway and can eventually lead to total obstruction.
It is a harsh, high-pitched inspiratory sound, and occurs when swelling in the upper airway (near the vocal cords and throat) closes off the airway and can eventually lead to total obstruction.	What is stridor?
What vital signs should you assess and reassess during reassessment?	Pulse, respirations, blood pressure, skin, pupils, and oxygen saturation.
Pulse, respirations, blood pressure, skin, pupils, and oxygen saturation.	What vital signs should you assess and reassess during reassessment?
What is a useful method for assessing an allergic patient's perfusion status?	Pulse oximetry is a useful method for this.
Pulse oximetry is a useful method for this.	What is a useful method for assessing an allergic patient's perfusion status?
What kind of chemical is epinephrine?	It is a sympathomimetic, which means it mimics the sympathetic (flight or fight) response.
It is a sympathomimetic, which means it mimics the sympathetic (flight or fight) response.	What kind of chemical is epinephrine?
How does epinephrine work?	It has various properties that cause the blood vessels to constrict, which reverses vasodilation and hypotension. This, in turn, elevates the diastolic pressure and improves coronary blood flow. It also increases cardiac contractility and relieves bronchospasm in the lungs.
It has various properties that cause the blood vessels to constrict, which reverses vasodilation and hypotension. This, in turn, elevates the diastolic pressure and improves coronary blood flow. It also increases cardiac contractility and relieves bronchospasm in the lungs.	How does epinephrine work?
How much epinephrine do auto-injectable syringes contain?	The adult EpiPen system delivers 0.3 mg of  it via an automatic needle and syringe system; the infant-child system delivers 0.15 mg. The Twinject auto-injector contains two doses of it and is also available in two strengths, 0.15 mg for those weighing 33 to 66 lbs., and 0.3 mg for those who weigh 66 lbs. or more.
The adult EpiPen system delivers 0.3 mg of  it via an automatic needle and syringe system; the infant-child system delivers 0.15 mg. The Twinject auto-injector contains two doses of it and is also available in two strengths, 0.15 mg for those weighing 33 to 66 lbs., and 0.3 mg for those who weigh 66 lbs. or more.	How much epinephrine do auto-injectable syringes contain?
What are antihistamines?	These are agents that block the effect of histamines. They work relatively slowly, within several minutes to 1 hour.
These are agents that block the effect of histamines. They work relatively slowly, within several minutes to 1 hour.	What are antihistamines?
What is one thing you should do with all patients with suspected anaphylaxis?	They should be given high-flow, high-concentration oxygen.
They should be given high-flow, high-concentration oxygen.	What is one thing you should do with all patients with suspected anaphylaxis?
What are some common signs and symptoms of allergic reactions regarding the respiratory system?	They are shortness of breath (dyspnea), sneezing or an itchy runny nose, tightness in the throat or chest, irritating dry cough, hoarseness, respirations that become rapid, labored, or noisey, and wheezing and/or stridor (progressing to a silent chest with anaphylaxis).
They are shortness of breath (dyspnea), sneezing or an itchy runny nose, tightness in the throat or chest, irritating dry cough, hoarseness, respirations that become rapid, labored, or noisey, and wheezing and/or stridor (progressing to a silent chest with anaphylaxis).	What are some common signs and symptoms of allergic reactions regarding the respiratory system?
What are some common signs and symptoms of allergic reactions regarding the cardiovascular system?	They are a decrease in blood pressure as blood vessels dilate (hypotension), an increase in pulse rate (tachycardia), pale skin as the vascular system fails, and loss of consciousness and coma.
They are a decrease in blood pressure as blood vessels dilate (hypotension), an increase in pulse rate (tachycardia), pale skin as the vascular system fails, and loss of consciousness and coma.	What are some common signs and symptoms of allergic reactions regarding the cardiovascular system?
What are some common signs and symptoms of allergic reactions regarding the skin?	They are flushing, itching, or burning skin, especially common over the face and upper part of the chest, urticaria over large areas of the body (internal or external), swelling (especially of the face, neck, hands, feet, and or tongue), swelling and cyanosis or pallor around the lips, and a warm, tingling feeling in the face, mouth, chest, feet, and hands.
They are flushing, itching, or burning skin, especially common over the face and upper part of the chest, urticaria over large areas of the body (internal or external), swelling (especially of the face, neck, hands, feet, and or tongue), swelling and cyanosis or pallor around the lips, and a warm, tingling feeling in the face, mouth, chest, feet, and hands.	What are some common signs and symptoms of allergic reactions regarding the skin?
What are some additional common signs and symptoms of allergic reactions?	They are anxiety, abdominal cramps, headache, itchy, watery eyes, dizziness, and a decreasing mental status.
They are anxiety, abdominal cramps, headache, itchy, watery eyes, dizziness, and a decreasing mental status.	What are some additional common signs and symptoms of allergic reactions?
How many children and adult suffer acute poisoning each year?	Approximately 5 million each year suffer from this.
Approximately 5 million each year suffer from this.	How many children and adult suffer acute poisoning each year?
What are opoids?	They are medicines with actions similar to morphine.
They are medicines with actions similar to morphine.	What are opoids?
What is toxicology?	It is the study of toxic or poisonous substances.
It is the study of toxic or poisonous substances.	What is toxicology?
What is a poison?	It is any substance whose chemical action can damage body structures or impair body function.
