#separator:tab
#html:false
Painful genital lesion	Herpes, chancroid
TORCHS	Toxoplasm, Rubella, CMV, HepB, Syphilis
Fruiting Body	B. anthracis
Viral infection	No phagocytes present!
Mononuclear/interstitial inflammation	Lymphocytes and macros, intracellular or persisting infec
Cytopathic inflammation	Viruses only
Naked virus genome	Must be icosahedral, naked can not be helical,
PFU	Plaque forming unit – amount in sample
+ssRNA strategy	Translate first, infectious by itself
-ssRNA strategy	Transcribe first, have RNApol in capsid, not infectious
Main cause of influenza variation	Segmented genome, antigenic shift
3 influenza surface proteins	Hemagglutinin, Neuraminidase, M2 ion channel
Main seasonal influenza strains	H1N1, H3N2
Pandemic criteria	Novelty, virulent, R-factor (person transmission)
Trivalent vaccine vs. flumist	Flumist is only for young, healthy people, no one at risk
3 types of herpesviruses	Alpha(neuro), gamma(lympho), beta (not alpha/gamma)
ICP47	Viral protein to block MHCI presentation in HSV-1
Corneal transplant	HSV-1
Neonatal herpes	HSV-2
Most prevalent congenital infection	CMV
Cervix shedding diseases	HSV worst, CMV is mild
B cell Mitogen	EBV
Gp320/gp42	EBV
Viral Capsid Antigen Assay	EBV
PTLD Rx	Rituximab
G and F proteins	RSV paramyxovirus
Severe complication of respiratory viruses	SIDS
RSV prevention	Synagis
Dubin-johnson disease	Increased conjugated bilirubin
P and G proteins	Serotypes of Rotavirus for vaccines
Confluent Rash	Measles, rubella
Bone marrow Tx disease	Roseola, HHV-6
Retrovirus enzymes	RT, integrase, protease
M tropic HIV	CCR5
T tropic HIV	CXCR4
Δ32-ccr5 polymorphism	Homozygous, possibly HIV resistant, ccr5 antag drugs?
gp120/gp41	HIV binding
Enfuvirtide	HR2-gp41 antagonist, block binding to HR1, stop fusion
HIV diagnosis	Viral RNA used til 4-6 weeks and Ig turns positive
Exposed-uninfected	HIV resistant, only some are ccr5 neg-homozygous
Rapid progressors	HIV into AIDS within 3 years
Long term non-progressors	HIV for 20+years without AIDS
Elite controllers	HIV so low can barely be detected, <50copies/mL
Vif protein	Viral infectivity protein, required for infection
Vpu protein	Viral protein unknown function – for virus release
Non-permissive cells	Have anti-vpu and APOBEC3g
APOBEC3G	Anti-vif protein
Permissive cells	Lack anti-vpu and lack APOBEC3G, can be infected by viruses that also lack vif and vpu
2 routes of entry for neurotropic viruses	Hematogenous and neural
Meningitis triad	Fever, headache, photophobia, neck stiff
Encephalitis Key	Early onset mental status change
Kernig Sign	Resistance when try to flex hip and extend knee, pt flat
Brudzinski Sign	Pt flat, try to flex neck, knees legs flex reflexively
Confusion, hydrophobia	Rabies
Centripetal and centrifugal viral spread	Rabies
Rabies Rx	Depends on inoculating animal, vaccine and Ig
Scrapie	Sheep spongiform encephalopathies
Insomnia	CJD
Startle myoclonus	CJD
M/M129	Higher risk for vCJD, instead of valine
Cortical blindness	CJD
Young people spongiform	vCJD, old is regular CJD
