#separator:tab
#html:false
What are compounds	Compounds contain two or more different elements chemically combined in a fixed proportion
Describe the particles in a gas	Gases are easy to compress, because the particles in gases are widely spaced. Gases spread out and fill the space of the container because the particles in a gas move at random speed and random motion
Describe the energy transfer during melting and boiling	In melting and boiling, energy is transferred from the surroundings to the substance
The stronger the forces of attraction between the particles...	The more energy needed to break them and the higher the melting point
What are the limitations of the simple particle model	Firstly, the simple particle model assumes that all particles are solid spheres and that there are no forces between particles
What do elements react to form and how	Elements react together to form compounds by gaining, losing or sharing electrons
How are ionic compounds held together	Ionic compounds are held together by strong electrostatic forces of attraction between their oppositely charged ions. This is called ionic bonding
Describe ionic bonding between Group 1 metals and Group 7 non-metals	Group 1 metals lose 1 electron forming a 1+ ion and Group 7 non-metals gain 1 electron forming a 1- ion. Both ions now have a full outer energy level
Describe ionic bonding between Group 2 metals and Group 6 non-metals	Group 2 metals lose 2 electron forming a 2+ ion and Group 6 non-metals gain 2 electron forming a 2- ion. Both ions now have a full outer energy level
Can ionic compounds conduct electricity	Ionic compounds will conduct electricity when molten or dissolved in water. This is because their ions can then become mobile and can carry the charge through the liquid
Why can't ionic compounds conduct electricity when molten	Ionic compounds cannot conduct electricity when solids because the ions cannot move to carry the charge, they are locked in place by the strong electrostatic forces of attraction
Why do gaint ionic lattice have a high melting point	It takes a lot of energy to break the many strong ionic bonds, operating in all directions, that hold a giant ionic lattice together. So ionic compounds have a high melting and boiling point and are always solids at room temperature
How are covalent bonds formed	Covalent bonds are formed when atoms of non-metals share pairs of electrons with each other
What counts as one covalent bond	Each shared pair of electrons counts as a covalent bond
What are the structures of covalent compounds	Many substances containing covalent bonds consist of simple molecules but some have giant covalent structures
What is common about melting and boiling points of small covalent structures and why	Substance made up of simple molecules have low melting and boiling points due to the weak intermolecular forces between molecules therefore it does not take much energy to break the bonds for the melting or boiling to occur. They are usually gases or liquids at room temperature
Can simple covalent molecules conduct electricity and why	Simple molecules have no overall charge, so they cannot carry an electrical charge, therefore substances made of simple molecules do not conduct electricity
Why do gaint covalent molecules have a high melting point	It takes a lot of energy to break the many strong covalent bonds, that hold giant covalent molecules together. So gaint covalent molecules have a high melting point and are always solids at room temperature
What element is diamond formed from	Diamond is formed from the element carbon
Why does diamond have a high melting point	Diamond forms 4 covalent bonds on each carbon atom which allows it to form a network of atoms held together by strong covalent bonds in a giant covalent structure, because of this it takes a great deal of energy to melt diamonds
Can diamond conduct electricity	Diamound cannot conduct electricity because there are no free electrons to carry the electrical charge due to the 4 covalent bonds of each carbon atom
What are the properties of giant covalent structures	Giant covalent structures have very high melting and boiling points. They are insoluble in water and do not conduct electricity (apart from graphite)
Why does silicon dioxide have a high melting and boiling point	Silicon dioxide has a high melting and boiling point due to the many strong covalent bonds that need to be broken which takes a great deal of energy
Why is graphite soft and slipperly	Graphite contains giant layers of carbon atoms with 3 covalent bonds which forms a layer of hexagonal rings. However ther are no covalent bonds between layers. This means that layers of graphite can slide over each other making it soft and slippery
Why does graphite have a high melting and boiling point	Graphite has a high melting and boiling point due to the many strong covalent bonds that need to be broken, which takes a great deal of energy
Can graphite conduct electricity and thermal heat	Graphite can conduct electricity and thermal energy because of the delocalised electrons that can travel through layers carrying an electrical charge or thermal energy
What is graphene	Graphene is a single layer of graphite and so is just one atom thick
What the properties and uses of graphene	Graphene is an excellent conductor of electricty because it has delocalised electrons, which will be useful in the electronics industry. Graphene is also very strong due to the many covalent bonds make it useful for new materials.
What are fullerenes	Fullerenes are molecules of carbon atoms which form large cage-like structures and tubes. They usually have hexagonal rings of carbon atoms but may also have rings with 5 or 7 carbon atoms.
What are fullerenes used for	Fullerenes can be used as transport mechanism for drugs to specific sites in the body, as catalyst or as reinforcement for compsite materials
What are the properties of carbon nanotubes	Carbon nanotubes have high tensile strength and are also excellent conductors of heat and electricity
What is one use for carbon nanotubes	Carbon nanotubes are used to reinforce materials such as tennis rackets
What are polymers made of	Polymers are made by joining together thousands of small, identical molecules called monomers. Monomers are often alkene molecules
Why are most polymers solids at room temperature	Most polymers are solids at room temperature due to the relatively strong intermolecular forces of attraction between polymer molecules
How are the atoms in metals arranged	The atoms in metals are closely packed together and arranged in regular layers. The electrons in the outer shell of each atom are delocalised and are free to move throughout the giant metallic lattice
Describe the bonding in metals	The metal atoms are held together by metallic bonds which are formed by the strong electrostatic forces attraction between the sea of delocalised negative electrons from the outer most shell of each metal atom and the positive metal ions.
Why do metals have a high melting and boiling point	Metals have a high melting and boiling point because it takes a great deal of energy to break the strong metallic bonds
Can metals conduct thermal energy and electricity	Metals can conduct electricity because the sea of delocalised electrons are charged and can carry an electrical current . Metals can also conduct thermal energy because the moving electrons can carry thermal energy
Can metals be bent and shaped	Metals can be bent and shaped beacuse the layers of atoms in a giant metallic structure can slide over each other
What are alloys	An alloy is a mixture of metals
Why is it more difficult to bend and shape alloys	An alloy is a mixture of metals. The different sizes of atoms distorts the layers, making it more difficult for them to slide over each other. Therefore alloys are harder than pure metals
Convert 1 millimetre to metres in s.f	1 x 10-3 metres
Convert 1 micrometre to metres in s.f	1 x 10-6 metres
Convert 1 nanometre to metres in s.f	1 x 10-9 metres
What is Nanoscience	Nanoscience is the study of small particles that are between 1 and 100 nanometres in size
What differenes are their between nanoparticles and the same material in bulk	Nanoparticles may have different properties from the same materials in bulk beacuse nanoparticles have a high surface area to volume ratio, with a high percentage of their atoms exposes at their surface
How can nanoparticles be used industrially	The use of nanoparticles instead of bulk materials mean that smaller quantities of materials are needed for example, catalysts needed for industrial processes
How can nanoparticles be used	Nanoparticles can be used in electronics, suncreams, catalysts, deodorants and can be used to deliver drugs reinforced by nanotubes
What are potential issues are their with the use of nanoparticles	It is possible that nanoparticles can be absorbed into the body and enter our cells, which can cause concern because the long term effects of this are unknown. There are also environmental issues
Name the advantage and disadvatage of dot and cross diagrams	One advantage of dot and cross diagrams is that it is very clear where the electrons are coming from. One disadvatage is that the diagrams do not tell you about the shape of the molecule
Name the advantage and disadvatage of stick diagrams	One advantage of stick diagrams is that they show you the covalent bonds in the molecule. One disadvantage is that the diagrams do not show the electrons in the outermost shell
Name the advantage and disadvatage of ball and stick diagrams	One advantage of ball and stick diagrams is that it clearly allows us to see the ions in 3 dimensions. The disadvatage of the diagrams is that the ions are shown as widely spaced
Name the advantage and disadvatage of spacefilling diagrams	One advantage of spacefilling diagrams is that the ions are shown as closely packed. The disadvantage is that it is difficult to see the three dimensional packing
Name the main disadvantage of space filling diagrams and ball and stick diagrams	The main disadvantage of space filling and ball and stick diagrams is that they only show a small part of the giant crystal lattice
What is the Law of Conservation of Mass	No atoms are lost or made during a chemical reaction so the mass of products is equal to the mass of reactants
What is atom is used as a reference point for calculating relative atomic masses	The masses of atoms are compared by measuring them relative to atoms of carbon-12
Equation of Moles that links Mass and Mr	Moles = Mass / Mr
What is the overall charge of an ionic compound	In an ionic compound, the charges on the ions have to cancel out to leave an overall charge of zero
What is relative formula mass	The relative formula mass of a compound is the sum of the relative atomic masses of the atoms in numbers shown in the formula
What is Avogadro's constant	6.02 x 1023
Define Avogadro's constant	Avogadro's constant is the number of atoms or molecules in one mole of a substance, which is equal to 6.023 × 1023.
What is the limiting reactant in a chemical reaction	The limiting reactant is the reactant in a chemical reaction which gets completely reacted first
What is the excess reactant in a reaction	The excess reactant is the reactant in a chemical reaction with greater amount than necessary to react completely with the limiting reactant
Define concentration	The concentration of a solution shows you the mass of a solute in in a given volume of solution
Equation of concentration that links mass and volume	c = m / v
Explain what it means if a solution is more concentrated	A more concentrated solution has more solute in the same volume of solution than a less concentrated solution
Equation of percentage yield	% yield = actual mass / theoretical yield x 100%
What is meant by the yield of a chemical reaction	The yield of a chemical reaction describes how much product is made
What is meant by the percentage yield of a chemical reaction	The percentage yield of a chemical reaction describes how much product is made compared with the maximum amount that could be made (100%)
What factors can affect the yield of a chemical reaction	Factors affecting the yield of a chemical reaction include product being left behind in the apparatus, reversible reactions not going to completion, some reactants may produce unexpected reaction, and losses in separating the products from the the reaction mixture
What is atom economy	Atom economy is a measure of the amount of starting materials that end up as desired products. By minimising the production of unwanted products, money is saved and sustainability is increased by not wasting resources
Why is it important to increase atom economy in industrial processes	It is important to increases atom economy in industrial processes to conserve the Earth's resources, minimise pollution and to save money
Equation of atom economy	atom economy = Mr of desired products / Mr of all reactants
Eqaution of concentration	c = n / v
Convert 1 cm3 to dm3	1000 dm3
What volume of any gas is considered a mole	One mole of any gas occuppies a volume of 24 dm3 at room temperature (20 oC) and room pressure (1 atomsphere)
Equation of number of moles of gas	n = vol / 24
Equation of metal reacting with oxygen	metal + oxygen = metal oxide
Explain the reactions of metals with oxygen	When a metal reacts with oxygen it will form a metal oxide and an oxidation reaction takes place because the metal atoms have been oxidised
What type of reaction loses oxygen	Losing oxygen is a reduction reaction
What type of reaction gains oxygen	Gaining oxygen is a oxidation reaction
What type of reaction both loses and gains oxygen	Losing and gaining oxygen is a redox reaction
Equation of Group 1 metal reacting with water	metal + water = metal hydroxide + hydrogen
How are metals ordered in the reactivity series	The metals can be placed in order of reactivity by their reactions with water and dilute acid
What gas is given off when metals react with water or acid and how do you test for it	Hydrogen gas is given off if metals react with water or dilute acids. The gas pops with a lighted splint
Describe the reaction of Group 1 metals with water and dilute acid	Group 1 metals fizz, giving off hydrogen gas when they react with water, leaving an alkaline solution of metal hydroxide. Group 1 metals dangeroulsy expolde when reacing with dilute acid
What defines a metals reactivity	When metals react they lose electrons and form a positive ion. The reactivity of a metal depends on its ability to lose electrons and form a positive ion
What is oxidation	Oxidation is the loss of electrons
What is reduction	Reduction is the gain of electrons
Describe a displacment reaction with metals	A more reactive metal will displace a less reactive metal from its aqueous solution
Why are the non-metals carbon and hydrogen in the reactivity series	The non-metals carbon and hydrogen can be given positions in the reactivity series because they are commonly used in displacement reactions
What is displacement	A more reactive element will displace a less reactive element from its compound
Which metal is found in its native state	Gold and some other unreactive metals can be found in their native state
What is a metal ore	A metal ore contains enough of the metal to make it economic to extract the metal
On what condition are ores mined	Ores that are mined need to be concentrated before the metal is extracted and puried
How are metals extracted from their ores	Metals are extracted from their ores by reduction of their compounds in displacement reactions. The reactivity series helps you decide the best way to extract a metal.
What is the cheapest way to extract metals less reactive than carbon	The compounds of metals below carbon in the series can be reduced by carbon to give the metal element
How are metals more reactive than carbon extracted from their ores	Metals more reactive than carbon cannot be extracted using carbon instead they are extracted by electroysis of the molten metal compound
Equation of a metal reacting with acid	Metal + Acids = Salt + Hydrogen
OIL RIG	Oxidation is loss, Reduction is gain
Which ions do acids produce	Acids produce hydrogen ions (H+) in aqueous solution
What are bases	Bases are chemicals which can neutralise acids and produce water and a salt. They are insoluble in water. Bases which are soluble in water are also called alkalis
Which ions do alkalis produce	Alkalis produce hydroxide ions (OH-) in aqueous solutions
What does the pH of a substance tell us	The pH tells us the acidity or alkilinity of a solution. To determine pH you can use a pH probe or Universal indicator
Formula for Hydrochloric acid	HCL
Formula for Sulfuric acid	H2SO4
Formula for Nitric acid	HNO3
How does a salt from	A salt is a compound formed when the hydrogen in an acid is wholly or partially replaced by metal or ammonium ions
How are salts created	Salts can be made by reacting a suitable metal with an acid. The metal must be above hydrogen in the reactivity series, but not dangerously reactive
What are the products of a metal and an acid	The reaction between a metal and an acid produces hydrogen gas as well as a salt.
How can a sample of salt be made	A sample of the salt can then be crystallised out of the solution by evaporating off the water
What type of reaction is a metal reacting with an acid	The reaction between a metal and an acid is a redox reaction. The metal atoms lose electrons and are oxidised and hydrogen ions from the acid gain electrons and are reduced
Formula Equation for a Neutralisation reaction	Acid + Base = Salt + Water
How can a pure dry sample of salt be made from a neutralisation reaction	A pure, dry sample of the salt made in an acid-base reaction can be crystallised out of solution by evaporating off most of the liquid, and drying with filter paper
Formula for Sodium carbonate	Na2CO3
Formula for Calcium carbonate	CaCO3
Formula for Potassium carbonate	K2CO3
Word Equation for acid reacting with a metal carbonate	Acid + Metal carbonate = Salt + Water + CO2
What are the products of an acid reacting with a metal carbonate	When acids react with a metal carbonate, they make a salt, water and carbon dioxide
What is an alkali	An alkali is a soluble hydroxide, whic produce OH- ions when added to water
What are some acids some called strong acids and others called weak acids	Strong acids have a higher pH vaule then weaker acids of the same concentration. This is beacuse strong acids fully ionise in aqueous solutions and weak acids only partially ionise in aqueous solutions since the reaction is reversible so, some of the ions recombine to form the orginal molecule. Therefore their is a higher concentration of H+ ions are in strong acids than weak acids given the same concentration
What will increase if the pH vaule decreases by one	As pH decreases by one unit, the hydrogen ion concentration of the solution increases by a factor of 10
What does the concentration of an acid tell us	The concentration of an acid tells us the amount of acid molecules in a given volume of solution
What do we use Titration for	Titration is used to accurately measure which volumes of acid and alkali react together completely
What is an end point in Titration	The point at which a reaction between an acid and an alkali is complete is called the end point
Define Electroysis	Electroysis is the breaking down of ionic compounds, into new products using electricty
Why can't you carry out electroysis with solid electrolytes	Solid ionic compunds would not be able to conduct electricty because the ions are locked in place and are not free to move due to the strong electrostatic forces of attraction
Why can electroysis only occur when the electrolytes are molten or in solution	When an ionic compound is melted or dissolved in solution, the forces of attraction are broken and the ions are free to move and carry the electrical charge to the electrodes
Which ions move where in electroysis	In electroysis, positive ions move towards the cathode which is the negative electrode while negative ions move to the anode which is the positive electrode
What are the electrodes made of	The electrodes are often made of an unreactive substance, such as graphiteor platium metal. This is so the electrodes do not react with the electrolyte or the products made in electroysis
What happens ions meet the electrodes	When the ions meet the electrodes, electron exchange happens and this triggers a chemical reaction.
What happens at the anode	At the anode, the negative ions are oxidised which means they lose their extra electrons and become neutral atoms
What happens at the cathode	At the cathode, the positive ions are reduced which means they gain extra electrons and become neutral atoms
What does Aqueous solution mean	Aqueous solutions are dissloved in water
Which other electrolytes are involved in the electrolysis of aqueous solutions	Water molecules ionies forming hydrogen ions and hydroxide ions
What is produced at the cathode in the electrolysis of aqueous solutions	Hydrogen is produced at the cathode if the metal is more reactive than hydrogen
What is produced at the anode in the electrolysis of aqueous solutions	At the anode oxygen gas is given off, from discharged hydroxide ions produced from water or a halogen is produced if the electrolyte is a solution of a hailde
Half equation of hydrogen at the cathode	2H+(aq) + 2e- = H2(g)
Half equation of Hydroxide ion at the anode	4OH-(aq) = 2H2O(l) +O2(g) + 4e-
Half equation of chlorine ion at the anode	2Cl-(aq) = Cl2(g) + 2e-
What is brine	Brine is concentrated sodium chloride solution. The electroysis of brine is a very important industrial process
Word equation of the electrolysis of brine	Sodium chloride solution = Hydrogen gas + Chlorine gas + Sodium hydroxide solution
What are the products of the electrolysis of brine	When you eletrolyse sodium chloride solution or brine you get chlorine gas and hydrogen gas given off at the electrodes, and sodium hydroxide solution which is left in solution
What is produced at cathode in the electroysis of brine	The H+(aq) ions are attracted to the cathode and are reduced, so the hydrogen atoms will bond in pairs and will be given off as a gas from the cathode in preference to OH-(aq) ions
What is produced at the anode in the electroysis of brine	The Cl-(aq) ions are attracted to the anode and are oxidised, so the chlorine atoms will bond in pairs and will be given off as a gas from the cathode in peference to the OH-(aq) ions
Half equation of electroysis of brine at the anode	2Cl-(aq) = Cl2(g) + 2e-
Half equation of electroysis of brine at the cathode	2H+(aq) + 2e- = H2(g)
Equation of water ionising in electrolysis	H2O(l) <=> H+(aq) + OH-(aq)
How do you test for Chlorine gas in the electrolysis of Brine	Chlorine gas will turn blue litmus paper red and will then bleach, it turing it white
How do you test for Hydrogen gas in the electrolysis of Brine	The gas should be collected in a tube and a squeaky pop will be heared if the a lit splint is placed inside the tube
How do you test for sodium hydroxide solution in the electrolysis of Brine	Adding Universal indicator should turn the solution blue or purple
What is sodium hydroxide and chlorine used for	Sodium hydroxide is used in oven and drain cleaners. Chlorine is used to treat water and as a disinfectant. Both sodium hydroxide and chlorine are used to make bleach
What is Hydrogen used for	Hydrogen is used as a fuel
How is Aluminium extracted from its ore	Aluminium metal is extracted from the compound aluminium oxide, from the ore bauxite, by electrolysis
What is added to the aluminium oxide before electroysis	The aluminium oxide is mixed with molten cryolite to lower its melting point, reducing the energy needed to extract the aluminium which saves money
What are the electrodes, of the electroysis of aluminium oxide, made from	The cathode and anode are both made of graphite
What is the product at the cathode during the electrolysis of aluminium oxide	The Al3+(l) ions are attracted to the cathode and each ion is reduced, forming Al(l) atoms
What is the product at the anode during the electrolysis of aluminium oxide	The O2-(l) ions are attrated to the anode and are oxidsied, forming an oxygen molecule. CO2 is given off because the O2 reacts with the graphite electrodes
Half equation of the electroysis of aluminium oxide at the anode	2O2-(l) = O2(g) + 4e-
Half equation of the electroysis of aluminium oxide at the cathode	Al3+(l) + 3e- = Al(l)
Why does the graphite anode need to be change in the electroysis of aluminium oxide	The graphite anodes are replaced regularly as they gradually burn away because the oxygen molecules being produced reacts with the hot carbon anodes, forming carbon dioxide gas
Why is the electroysis of aluminium oxide expensive	Melting the compounds such as aluminium oxide requires a great deal of energy and alot of energy is needed to produce the electric current
What is an exothermic reaction	A reaction in which energy is transferred from the reacting substances to their surroundings is called an exothermic reaction
What is an endothermic reaction	A reaction in which energy is transferred to the reacting substances from their surroundings is called an endothermic reaction
What is the Law of conservation of energy	Energy is conserved in chemical reactions. it is neither created nor destroyed
When can reaction only occur	Reactions can only occur when the particles collide with each other and they have to do that with sufficient energy
What is activiation energy	Activiation energy is the minimum amount of energy required before colliding particles of reactants have sufficient energy to cause a reaction
How can we use exothermic reactions	Exothermic changes can be used in hand warmers and self-heating cans. Crystallisation of a supersaturated solution is used in reausable warmers. However disposable, one-off warmers heat up the surroundings for longer.
How can we use Endothermic reactions	Endothermic changes can be used in instant cold packs for sports injuries
Endothermic	Bond breaking
Bond breaking	Endothermic
Exothermic	Bond making
Bond making	Exothermic
What is bond energy	Bond energy is the energy required to break the bonds between two atoms. It is measured in KJ/mol
Describe the energy when bonds between atoms form	When new bonds are formed between atoms in a chemical reaction, energy is released
Describe the energy when bonds between atoms are broken	In chemical reactions, energy must be supplied to break the bonds between atoms in the reactants.
How can you calculate overall energy change in a chemical reaction	You can calculate the overall energy change in a chemical reaction using bond energies
Describe energy in an endothermic reaction	In an endothermic reaction, the energy released when new bonds form is less than the energy aborbed when when bonds are broken
Describe energy in an exothermic reaction	In an exothermic reaction, the energy released when new bonds are formed is greater than the energy absorbed when bonds are broken
Describe how two metals can form a simple cell	When two metals are dipped in salt solution and joined by a wire, the more reactive metal will donate electrons to the less reactive metal. This forms a simple electrical cell
Why don't cells produce energy forever	A cell can only produce electricity for a certin period of time. Eventually the chemicals in a the cell run out and the reaction stops
What can increase the voltage created by a cell	The greater the differencr between the reactivity of metals, the greater the potential difference produced by the cell. The electrolyte also affects the potential difference
What is a battery	A battery contains two or more cells connected in series to produce a greater voltage
Why can't alkaline batteries be recharged	In alkaline batteries, at some point, the reactants in the batteries run out and no more electricity is produced. There is no way to reverse the reaction, so these are non-rechargeable batteries
Why can rechargeable batteries be used when the reactants have run out	Rechargeable batteries can be recharged. We can reverse the chemical reactions when we apply an electrical current
How do electron move in a cell	The electrons flow from the more reactive metal which is the anode to the less reactive metal which is the cathode
Half equation of Hydrogen fuel cell at the anode	O2(g) + 2H2O(l) + 4e- = 4OH-(aq)
Half equation of Hydrogen fuel cell at the cathode	2H2(g) + 4OH-(aq) = 4H2O(l) + 4e-
How is hydrogen produced from hydrogen fuel cells	Hydrogen gas is oxidised and provides a source of electrons in the hydrogen fuel cell, in which the only watse product is water
What are the advantages of Hydrogen fuel cells	- Hydrogen fuel cells will produce electricity for as long as you provide hydrogen  -Hydrogen fuel cells do not get less effiecient the longer they run  -Hydrogen fuel cells can be a source of drinkable water
- Hydrogen fuel cells will produce electricity for as long as you provide hydrogen  -Hydrogen fuel cells do not get less effiecient the longer they run  -Hydrogen fuel cells can be a source of drinkable water	What are the advantages of Hydrogen fuel cells
What are the disadvantages of Rechargeable batteries	- Rechargeable batteries run out and need to recharged - Rechargeable batteries store less electricity, the more charging cycles they go through and eventually need to be replaced
- Rechargeable batteries run out and need to recharged - Rechargeable batteries store less electricity, the more charging cycles they go through and eventually need to be replaced	What are the disadvantages of Rechargeable batteries
What are the disadvantages of Hydrogen fuel cells	- Hydrogen fuel cells run on hydrogen which is an explosive gas and is very difficult to store safely - Hydrogen fuel cells produce a relatively low potential difference or voltage so serval are needed together
- Hydrogen fuel cells run on hydrogen which is an explosive gas and is very difficult to store safely - Hydrogen fuel cells produce a relatively low potential difference or voltage so serval are needed together	What are the disadvantages of Hydrogen fuel cells
What are the advantages of Rechargeable batteries	- No dangerous fuels are required with rechargable batteries. Some types of rechargeable batteries can catch fire if not manaufactured correctly - Rechargeable batteries can produce a greater potential difference than a hydrogen fuel cell
- No dangerous fuels are required with rechargable batteries. Some types of rechargeable batteries can catch fire if not manaufactured correctly - Rechargeable batteries can produce a greater potential difference than a hydrogen fuel cell	What are the advantages of Rechargeable batteries
Name one alternative to fossil fuels	Hydrogen is one alternative fuel. It can be used in fuel cells to power vechicles
How can you monitor the rate of a chemical reaction	We can find out the rate of a reaction by monitoring the amount of reactants used up over time. Alternatively, you can find out the rate of reation by measuring the amount of products made over time
How can you calculate the rate of reaction from a curve	To calculate the rate of reaction at a specifc time, draw the tanget to the curve, then calculate its gradient
Equation of mean rate of reaction for quantity of reactants used	mean rate of reaction = quantity of reactant used / time
Equation of mean rate of reaction for quantity of product formed used	mean rate of reaction = quantity of product formed / time
What does a steep slope on a rate of reaction graph tell you about the molecules	The steeper the slope, the faster the reaction as there is alot of product of being made in a short amount of time. This is because there is a large number of reactant molecules reacting to form the product. This means there is a large number of collisions per second
What does a gradual slope on a rate of reaction graph tell you about the molecules	A gradual slope tells us that the rate of reaction is slowing down because alot of the reactant molecules have turned into the product. This means that there are fewer reactant molecules available to react so there will be a smaller number of collions per second
What does a flat slope on a rate of reaction graph tell you aboout the molecules	At this point the reaction has as stopped this is because all the reactant molecules have already reacted. This means that the number of collisions per second is now zero
Define Collision Theory	Chemical reactions can only take place when the reacting particles collide with each other. The collisions must have sufficient energy to cause a reaction to take place
