#separator:tab
#html:false
What is a pure substance?	A pure substance is a single element or compound, not mixed with any other  substance
Describe sulfate tests and give an equation	Add a solution containing Ba2+ cations, e.g. a solution of BaCl2 White precipitate of BaSO4 forms E.g. K2SO4 + BaCl2 → 2 KCl + BaSO4 (!!!) can also be thought of a test for barium (II); add sulfates - white precipitate forms.
Add a solution containing Ba2+ cations, e.g. a solution of BaCl2 White precipitate of BaSO4 forms E.g. K2SO4 + BaCl2 → 2 KCl + BaSO4 (!!!) can also be thought of a test for barium (II); add sulfates - white precipitate forms.	Describe sulfate tests and give an equation
Describe silver nitrate tests and give equations	Add a solution of AgNO3 (acidified with HNO3) Chlorides - white precipitate, silver chloride; Ag+ + Cl− → AgCl Bromides - cream precipitate, silver bromide; Ag+ + Br− → AgBr Iodides - yellow precipitate, silver iodide; Ag+ + I− → AgI
Add a solution of AgNO3 (acidified with HNO3) Chlorides - white precipitate, silver chloride; Ag+ + Cl− → AgCl Bromides - cream precipitate, silver bromide; Ag+ + Br− → AgBr Iodides - yellow precipitate, silver iodide; Ag+ + I− → AgI	Describe silver nitrate tests and give equations
What are instrumental methods?	They are accurate, sensitive and rapid methods which are useful when the amount of sample is very small
They are accurate, sensitive and rapid methods which are useful when the amount of sample is very small	What are instrumental methods?
Describe the flame emission spectroscopy	a) instrumental method used for identifying metal ions in solution or measuring their concentration b) Spectroscope measures the exact wavelength of the light emitted by a metal ion c) That allows for definite identification - sometimes colours are difficult to  distinguish. d) Concentrations are found by measuring the intensity of light emitted. The more intense light, the greater the concentration of the metal ion in a solution. e) From the intensity vs concentration graph, you can read off a relevant  concentration value at a given intensity.
a) instrumental method used for identifying metal ions in solution or measuring their concentration b) Spectroscope measures the exact wavelength of the light emitted by a metal ion c) That allows for definite identification - sometimes colours are difficult to  distinguish. d) Concentrations are found by measuring the intensity of light emitted. The more intense light, the greater the concentration of the metal ion in a solution. e) From the intensity vs concentration graph, you can read off a relevant  concentration value at a given intensity.	Describe the flame emission spectroscopy
What are cations and anions?	Cations are the positive ions; anions are the negative ions.
Cations are the positive ions; anions are the negative ions.	What are cations and anions?
