#separator:tab
#html:false
What is a habitat	The place where an organism lives
What human processes use land	Building, quarrying, farming and dumping waste This means there is less land left for other organisms
Describe the destruction of peat bogs	Bogs are areas of land that are acidic and waterlogged. Plants that live in bogs dont fully decay when they die as there is not enough oxygen. The partially rotted plants build up to form peat. The carbon in the plants is stored in peat. However, peat bogs are often drained to be used as farmland, or peat is cut up and used as fuel or compost. When peat is drained, it comes into contact with air so microorganisms decompose it. This releases the carbon in the peat back into the atmosphere as carbon dioxide. The destruction of peat bogs also destroys the habitats of some animals, plants and microorganisms, so reduces biodiversity.
What is deforestation	The cutting down of forests, often on a large scale.
Why is deforestation done	To clear land for farming to produce more food To grow crops which biofuels based on ethanol can be produced from
What are the consequences of deforestation	Less carbon dioxide taken in - less trees means less carbon dioxide is removed from the atmosphere when photosynthesis occurs. Trees trap some of the carbon they absorb in their wood which can remove it from the atmosphere for hundreds of years More carbon dioxide in the atmosphere - carbon dioxide released when trees are burnt to clear land. Microorganisms feeding on bits of dead wood release carbon as a waste product of respiration. Less biodiversity - Habitats like forests contain a huge number of different species of plants and animals, so when they are destroyed many species can become extinct, reducing biodiversity.
What are breeding programs	Endangered animals are bred in captivity to make sure the species survives if it dies out in the wild. Individuals can be released into the wild to boost or re establish a population.
What is habitat protection	Programs to protect and regenerate rare habitats like mangroves, heathland and coral reefs have been started. Protecting these habitats protect the species that live there - preserving the ecosystem and biodiversity. There are programs to reintroduce hedgerows and field margins around fields on farms where only a single type of crop is grown. Field margins are areas where wildflowers and grasses are left to grow. These provide a habitat for a wider variety of organisms than single crop fields.
What programmes are in place to prevent global warming	regulations to reduce the level of deforestation taking place and the amount of carbon dioxide being released by businesses.
What waste reduction programs are in place	People are encouraged to recycle to reduce the amount of waste dumped in landfill sites. This could reduce the amount of land taken over for landfill, leaving ecosystems in place.
What pressures affect how biodiversity is maintained	The costs of programs The effect on the local economy - less jobs means people move away Protecting food security - pests are killed and this damages biodiversity The development of society - land is in such high demand that land with high biodiversity has to be used for development
What programmes are in place to maintain biodiversity	Breeding programmes Habitat protection Preventing Global Warming Reducing waste
What are trophic levels	The different stages of a food chain. They consist of one or more organisms that perform a specific role in the food chain.
What is trophic level 1	Contains producers - organisms that make their own energy from the sun
What is in trophic levels 2, 3, and 4	2 - primary consumers - herbivores that eat plants and algae 3 - secondary consumers - carnivores that eat primary consumers 4 - Tertiary consumers - carnivores that eat other carnivores (secondary consumers). Carnivores that have no predators are at the top of the food chain, so they are in the highest trophic level. These are know as apex predators
How do decomposers break down dead plant and animal matter	They secrete enzymes that break the dead stuff down into small soluble food molecules. These then diffuse into the microorganisms
What do pyramids of biomass show	The relative amount of biomass at each level of a food chain
How much energy from the sun is transferred by photosynthesis	Green plants and algae transfer ~1% of the incident energy of light that hits them during photosynthesis
How much biomass from a level is transferred to the level above it	approx. 10%
Why is biomass lost between trophic levels	Organisms do not always eat every single part of the organism they are consuming, so not all biomass is passed on to the next stage of the food chain Organisms do not absorb all of the stuff in the food they ingest - some of it is egested as faeces Some of the biomass taken is is converted to other substances that are lost as waste. Organisms use lots of glucose for respiration to provide energy for movement and warmth instead of making more biomass. This process produces lots of waste carbon dioxide and water. Urea is another waste product.
What is biomass	Biomass is mass of living material - it is the stored energy inside and organism/ population/ community.
What is food security	Having enough food to feed a population
What biological factors affect food security	-The increasing birth rate of many developing countries means an increase in population -Changing diets in developed countries means there is high demand for certain foods to be imported from developing countries. Already scarce food resources become even more scarce. -New pests and pathogens or changes in environmental conditions result in loss of crops and livestock and can lead to famine -High input costs of farming make it too expensive for people in some countries to start or maintain food production, so there are sometimes not enough people producing food in those areas to feed people -Conflicts in parts of the world affect the availability of food and water.
Why are sustainable methods of food production needed	All people now and in the future need to be fed without using resources faster than they renew.
What is overfishing	Too much fishing means fish stocks are declining in oceans. This means there are fewer fish for us to eat, the oceans food chains are affected and some species of fish may disappear in some areas. Fish stocks need to be maintained at a level where the fish continue to breed - this is sustainable food production.
How are fish stocks conserved	Fishing quotas - limits on the number and size of fish that can be caught in some areas, preventing some species from being overfished. Net size - limits on the mesh size of fish nets, depending on what is being fished. This reduces the number of unwanted and discarded fish that are accidentally caught. Using a bigger mesh size lets unwanted species escape, and means younger fish slip through the net, allowing them to reach breeding age.
How can food production be made more efficient	-Limiting the movement of livestock and keeping them in a temperature controlled environment reduces transfer of energy from livestock to environment, so more energy is available for growth, so more food produced from same resource input -Livestock like calves and chickens can be factory farmed. Fish can be factory farmed in cages. -Some animals are fed high protein food to increase their growth. However factory farming leads to easy spread of disease and there are ethical objections
What is biotechnology	Where living things and biological processes are used and manipulated to produce a useful product.
How is bacteria genetically engineered to produce human insulin	1.Plasmid removed from bacterium 2.Insulin gene cut out of human chromosome using a restriction enzyme. Restriction enzymes recognise specific sequences of DNA and cut the DNA at these points. This cut leaves one of the DNA strands with unpaired bases called the sticky end 3.Plasmid cut open using same restriction enzyme leaving same sticky end 4.plasmid and human insulin gene mixed together 5.Ligase (an enzyme) is added. This joins the sticky ends together to produce recombinant DNA 6.Recombinant DNA inserted into a bacterium 7.Modified bacterium grown in a vat under controlled conditions. End up with millions of insulin producing bacteria. Insulin can be harvested and purified to treat diabetics.
What is mycoprotein	Mycoprotein is made from the fungus fusarium, which is grown in aerobic conditions on glucose syrup. The fungal mass is harvested and purified to produce mycoprotein. Mycoprotein is used to make high protein meat substitutes for vegetarian meals.
How can crops be genetically modified	GM crops can be produced that are resistant to pests, improving crop yields They can be modified to grow better in drought conditions, increasing yields Some crops can be modified to provide more nutritional value eg. Golden Rice has been genetically engineered to produce a chemical that is converted in the body to vitamin A
What are arguments against genetically modified crops	People go hungry because they cannot afford to buy food, not because there is not enough. Some argue you need to tackle poverty first. There are fears that countries may become dependent on companies selling GM seeds Sometimes poor soil is the main reason crops fail, and even GM crops wont survive
