#separator:tab
#html:false
It is the articulation between two or more bone or rigid parts of the skeleton.	Joint
This joint occurs between the trochlea and capitulum of the humerus and the trochlear notch of the ulna and the head of the radius.     Type: Synovial hinge joint	Elbow joint
The Elbow joint permits only two kinds of movements:	Flexion and Extension
Superior radio-ulnar joint is a type of:	Synovial pivot joint
Possible movements of Superior radio-ulnar joint:	pronation and supination.
The head of the radius with the radial notch of the ulna. The radial head is held in position by the anular ligament of the radius	Articulation of Superior radio-ulnar joint
The radio-ulnar joints definition:	The two ends (upper and lower ends) of the radius and ulna are jointed to each other at the superior and inferior radioulnar joints.
In the radio-ulnar joints, the shaft of the two bones are united by the............. .  (some time called middle radioulnar joint).	interosseous membrane
Distal radio-ulnar joint Articulation:	Between the rounded head of the ulna and the ulnar notch on the radius.
Distal radio-ulnar joint type and possible movements:	▪ Type:  Synovial pivot joint.     ▪ Possible movements  pronation and supination.
It is an injury affecting the elbow joint, and occurs when the radial head is displaced from its normal articulation with the ulna and the humerus.	Subluxation and Dislocation of Radial Head
Subluxation and Dislocation of Radial Head	Subclinical Subluxation:  no symptoms or signs appear     Subluxation:  partial dislocation     Dislocation:  radial head is completely displaced
Wrist joint is:	Radio-Carpal joint
Is between the distal end of radius and the articular disc of ulna above, and the scaphoid, lunate and triquetral bones below.	Wrist joint (Radio-Carpal joint)
Wrist joint (Radio-Carpal joint)  Type & Movement:	▪ Type:  it is a synovial ellipsoid joint.     Movement:  ▪ It allows flexion, extension, abduction and adduction, with no rotation.
Joints of the hands:	❶ Intercarpal joints,  ❷ Carpometacarpal joints,  ❸ Metacarpophalangeal joints,  ❹ Interphalangeal joints.
Joints of lower limb:	❶ Hip joint  ❷ Knee joint  ❸ Tibio-fibular Joints  ❹ Proximal Tibio-Fibular joint  ❺ Distal Tibio-fibular Joint  ❻ Ankle Joint
Is a synovial ball and socket joint, and articulates between the head of the femur and acetabulum	Hip joint
Hip joint Movements:	Flexion, Extension, abduction, adduction, lateral and medial rotation and circumduction
Is the most complex joint of the body.	Knee joint
Articulation of Knee joint:	Between two rounded condyles of femur above and two condyles of the tibia and their cartilaginous menisci.
Knee joint Types:	Between the femur and tibia is a synovial hinge variety,  Between the patella and femur is synovial plane gliding variety.
Extracapsular ligament in the knee joint:	A. Lateral collateral ligament  (separates from lateral meniscus by the tendon of the popliteal muscle)     B. Medial collateral ligament  (is firmly attached to the medial meniscus so injury of ligament lead to damage of medial meniscus)
The intracapsular ligament are two cruciate ligament:	A. Anterior crusciate ligament  B. Posterior crusciate ligament
The menisci of the knee joint:	They are two fibro-cartilaginous discs:     A. Medial meniscus is C shaped.  B. Lateral meniscus circular shape.
Knee Joint Injuries occur when:	Anterior cruciate ligament ( torn )  Tibial collateral ligament ( torn )  Medial meniscus ( torn )
Tibio-fibular Joints  The tibia and fibula are connected by two joints:	❶ the tibiofibular joint  ❷ the tibiofibular syndesmosis (inferiortibiofibular) joint.     (an interosseous membrane joins the shafts of the two bones.)
Proximal Tibio-Fibular joint	* Plane type of synovial joint  * Articulation between the lateral condyle of the tibia and head of the fibula.
Articulation is between the fibular notch a of the tibia and the lower end of the fibula and the joint is a fibrous joint	Distal Tibio-fibular Joint
Ankle Joint Articulation:	Articulation is between the lower end of the tibia, the two malleoli, and the body of the talus.
The ankle is a synovial hinge joint.     True or False?	True
Ankle Joint Movements:	a. Dorsiflexion (toes pointing upward) and  b. Plantar flexion (toes pointing downward) are possible.
The movements of inversion and eversion take place at the tarsal joints and NOT at the ankle joint.     True or False?	True
At the ankle Joint, the movements of inversion and eversion take place at:	take place at the tarsal joints and NOT at the ankle joint.
