#separator:tab
#html:false
Fecundação	encontro de gametas
Tipos de fibras	-glicolítica -oxidativa
Ácido Latico é um músculo de?	explosão
Mioglobina é um músculo de?	resistência
Tecido nervoso, pra que serve?	controle e coordenação -neurônio
Células da glia, pra que servem?	dá suporte aos neurônios
Funções da Microglia	-limpeza/defesa -fagocita corpos estranhos e restos de neurônios mortos
Oligodendrócitos	são responsáveis pela produção de bainha de mielina
Astrócitos	tira nutrientes do vaso sanguíneo e passa pro neurônio
Mielina, o que é?	-capa de mebrana -estrutura lipídica
Barreira hematoencefálica	barreira entre o sangue e o encéfalo
Sinapse	região de contato químico entre os neurônios
